Date,Name,Year,Letterboxd URI,Rating
2026-05-15,Rush Hour,1998,https://boxd.it/27pU,3.5
2026-05-16,Tropic Thunder,2008,https://boxd.it/20WM,4
2026-05-18,Beautiful Boy,2018,https://boxd.it/g76Q,4
2026-05-20,Memento,2000,https://boxd.it/2bcK,5
2026-05-21,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,4.5
2026-05-21,Project Hail Mary,2026,https://boxd.it/pEeQ,5
2026-05-21,Michael,2026,https://boxd.it/zi5M,4
2026-05-23,The Matrix,1999,https://boxd.it/2a1m,4
2026-05-26,The Place Beyond the Pines,2012,https://boxd.it/3mDu,3.5
2026-05-29,Obsession,2025,https://boxd.it/PNqo,4
2026-06-09,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2026-06-09,Free Guy,2021,https://boxd.it/k8dm,3
2026-06-09,Deadpool,2016,https://boxd.it/9fOC,4
2026-06-09,Deadpool 2,2018,https://boxd.it/dlLM,4
2026-06-09,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2026-06-09,John Wick,2014,https://boxd.it/7dEc,5
2026-06-09,The Exorcist,1973,https://boxd.it/1Yoo,4
